id,name
AB.410,Burgers游꼢
AB.,Todos los Productos
AB.010,Fries
AB.020,Burgers
AB.008,Promociones
AB.040,Extras
AB.400,Fries 游
BA.500,Elige tu tama침o favorito
AB.420,Favoritos游댠
BA.510,Escoge Tus Burgers 游꼢
BA.520,Escoge Tus Bebidas游볷
AB.030,Chicken
BA.530,Escoge Tus Papas Grandes游
BA.310,D칩nde Deseas Tus Extras?
BA.260,Elige Tus Papas Grandes
AB.050,Drinks 游볷
BA.200,Elige Tu Bebida
BA.360,Bebidas (04).
BA.230,Escoge Tus Burgers
AB.100110,Papas
AB.100115,Pollo frito
BA.030,Elige tu tama침o favorito
AB.100120,Hamburguesas con papas
BA.020,Elige tu tama침o favorito
AB.070,Promos presenciales  游댠
BA.090,Elige tu tama침o favorito
BA.370,Escoge el sabor de bebida 
BA.060,Elige tu tama침o favorito
BA.010,Elige tu tama침o favorito
AB.100140,Bebidas
BA.070,Elige tu tama침o favorito
AB.100130,Extras
AB.105,Combos游꼢游游눝
BA.325,Elige tus hamburguesas
BA.326,Elige tus bebidas 
BA.040,Elige tu tama침o favorito
BA.330,Elige tus papas grandes 
BA.050,Elige tu tama침o favorito
AB.490,Nescaf칠
BA.105,Elige tu tama침o favorito de caf칠 o milo
AB.075,Bar
AB.080,Cerveza de botella
AB.085,Schops
AB.090,Botellas 
BA.730,Agregar ingrediente
AB.095,COLACIONES
AB.280,Postres
AB.072,Cocteles 2*8990
AB.073,Cocteles 2
AB.125,Hamburguesas sin papas
AB.500,2 Burgers sin papas游꼢
BA.750,Elige tus burgers sin papas 
AB.060,EVENTO
AB.065,CIGARROS CHICLE
AB.006,Otros
AB.520,HAMBURGUESAS DE AUTOR 
AB.530,PAPITAS
AB.540,IGNACIA ANTONIA 
AB.200240,Burgers
AB.510,ENTRADAS
AB.550,VIERNES AUTOR 2*8990
AB.150,delivery
AB.007,PROMOS PAPA췂S SHOP
AB.135,2 Burgers sin papas 
